,Description,Category,Unit of measure,P-value,Scoring method,Higher = Better,SVN,AUT,DEU,Δ AUT,Δ DEU
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),Environment,,0.009550561797752809,F,0,32.019247779864884,77.52540380400832,25.60871874490225,0.5869837987453426,-0.08268939883459449
SCO.SS,"Social connections, Social support",Socioeconomics,"share of people who answered ""yes"" to the question:  “If you were in trouble, do you have relatives or friends you can count on to help you whenever you need them, or not?”",0.010202247191011236,R,1,92.48509882191473,91.79564735419726,90.4832738083328,0.007454730291687887,0.021644838347813875
IW.HW,"Income and Wealth, Household wealth",Socioeconomics,$,0.01053932584269663,R,1,137323.0,105381.0,85860.0,0.23260488046430677,0.3747587803936704
env.ac.cur,Circular material use rate,Environment,%,0.010696629213483145,R,1,9.766666666666667,10.411111111111111,12.055555555555555,-0.05345622119815664,-0.18986175115207365
educ.uoe.enra29,"Out-of-school rate in population of upper secondary school age, by sex",Socioeconomics,%,0.01197752808988764,R,0,3.5866666666666664,7.375,10.57,0.358404288867865,0.6606748659728793
WJQ.LMI,"Work and Job Quality, Labour market insecurity",Jobs,%,0.014247191011235954,R,0,7.621365547180176,1.9849226474761958,1.797477674484254,-0.7395581362436294,-0.7641528065598032
SH.DYN.1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)",Health,,0.015191011235955057,F,1,1.4375,1.4249999999999998,1.175,0.008695652173913167,0.18260869565217389
NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI),Socioeconomics,,0.01647191011235955,F,1,4.675807540563492,5.143813540329269,4.484685776638358,-0.09098424662878025,0.03715565551252456
SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)",Health,,0.018202247191011236,F,0,9.950000000000001,9.6875,9.0875,-0.026381909547738797,-0.08668341708542719
SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",Socioeconomics,,0.01853932584269663,F,1,16.224269999999997,10.525211666666666,12.044311666666665,0.35126747356480953,0.25763614223218256
WJQ.ER,"Work and Job Quality, Employment rate",Jobs,%,0.0210561797752809,R,1,73.77126564976635,76.00743356652339,80.0740523141029,-0.027926248917506065,-0.07871197325711571
SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)",Socioeconomics,,0.02357303370786517,F,1,97.16316223144531,91.45907919747489,86.6664991378784,0.05870623086950524,0.10803130376267056
