index,id-number,type,description,source
SH.PRG.ANEM,54,Health,Prevalence of anemia among pregnant women (%),World Data Bank
SH.TBS.CURE.ZS,55,Health,Tuberculosis treatment success rate (% of new cases),World Data Bank
SH.TBS.DTEC.ZS,56,Health,"Tuberculosis case detection rate (%, all forms)",World Data Bank
SH.TBS.INCD,57,Health,"Incidence of tuberculosis (per 100,000 people)",World Data Bank
SN.ITK.DEFC.ZS,58,Health,Prevalence of undernourishment (% of population),World Data Bank
SP.DYN.AMRT.FE,59,Health,"Mortality rate, adult, female (per 1,000 female adults)",World Data Bank
SP.DYN.AMRT.MA,60,Health,"Mortality rate, adult, male (per 1,000 male adults)",World Data Bank
SP.DYN.CBRT.IN,61,Health,"Birth rate, crude (per 1,000 people)",World Data Bank
SP.DYN.CDRT.IN,62,Health,"Death rate, crude (per 1,000 people)",World Data Bank
SP.DYN.IMRT.FE.IN,63,Health,"Mortality rate, infant, female (per 1,000 live births)",World Data Bank
SP.DYN.IMRT.IN,64,Health,"Mortality rate, infant (per 1,000 live births)",World Data Bank
SP.DYN.IMRT.MA.IN,65,Health,"Mortality rate, infant, male (per 1,000 live births)",World Data Bank
SP.DYN.LE00.FE.IN,66,Health,"Life expectancy at birth, female (years)",World Data Bank
SP.DYN.LE00.IN,67,Health,"Life expectancy at birth, total (years)",World Data Bank
SP.DYN.LE00.MA.IN,68,Health,"Life expectancy at birth, male (years)",World Data Bank
SP.DYN.TFRT.IN,69,Health,"Fertility rate, total (births per woman)",World Data Bank
SP.DYN.TO65.FE.ZS,70,Health,"Survival to age 65, female (% of cohort)",World Data Bank
SP.DYN.TO65.MA.ZS,71,Health,"Survival to age 65, male (% of cohort)",World Data Bank
cens.01nadisco,72,Jobs,"Employed persons aged 15 and over by sex, age group and occupation",Eurostat
ilc.lvhl36,73,Jobs,Labour transitions from temporary to permanent contracts by sex -3-year average,Eurostat
lfsa.argacob,74,Jobs,"Activity rates by sex, age and country of birth (%). Only age = Y15-64",Eurostat
lfsa.argaed,75,Jobs,"Activity rates by sex, age and educational attainment level (%). Only age = Y15-64",Eurostat
lfsa.argaedcob,76,Jobs,"Activity rates by sex, age, educational attainment level and country of birth. Only age = Y15-64",Eurostat
lfsa.argaedn,77,Jobs,"Activity rates by sex, age, educational attainment level and citizenship. Only age = Y15-64",Eurostat
lfsa.argan,78,Jobs,"Activity rates by sex, age and citizenship (%). Only age = Y15-64",Eurostat
lfsa.egad,79,Jobs,"Employment by sex, age and job tenure. Only age = Y15-64. Unit is Percentage %",Eurostat
lfsa.eppga,80,Jobs,"Part-time employment as percentage of the total employment, by sex and age (%). Only age = Y15-64",Eurostat
lfsa.eppgacob,81,Jobs,"Part-time employment as percentage of the total employment, by sex, age and country of birth (%). Only age = Y15-64",Eurostat
lfsa.eppgai,82,Jobs,"Involuntary part-time employment as percentage of the total part-time employment, by sex and age (%). Only age = Y15-64",Eurostat
lfsa.eppgan,83,Jobs,"Part-time employment as percentage of the total employment, by sex, age and citizenship (%). Only age = Y15-64",Eurostat
lfsa.ergacob,84,Jobs,"Employment rates by sex, age and country of birth (%). Only age = Y15-64",Eurostat
lfsa.ergaed,85,Jobs,"Employment rates by sex, age and educational attainment level (%). Only age = Y15-64",Eurostat
lfsa.ergaedcob,86,Jobs,"Employment rates by sex, age, educational attainment level and country of birth. Only age = Y15-64",Eurostat
lfsa.ergaedn,87,Jobs,"Employment rates by sex, age, educational attainment level and citizenship. Only age = Y15-64",Eurostat
lfsa.ergan,88,Jobs,"Employment rates by sex, age and citizenship (%). Only age = Y15-64",Eurostat
lfsa.etpgacob,89,Jobs,"Temporary employees as percentage of the total number of employees, by sex, age and country of birth (%). Only age = Y15-64",Eurostat
lfsa.etpgan,90,Jobs,"Temporary employees as percentage of the total number of employees, by sex, age and citizenship (%). Only age = Y15-64",Eurostat
lfsa.ewpshi,91,Jobs,"Employees working shifts as a percentage of the total of employees, by sex and age (%). Only age = Y15-64",Eurostat
lfsa.ipga,92,Jobs,"Inactive population as a percentage of the total population, by sex and age (%). Only age = Y15-64",Eurostat
lfsa.upgacob,93,Jobs,"Long-term unemployment (12 months or more) as a percentage of the total unemployment, by sex, age and country of birth (%). Only age = Y15-64",Eurostat
lfsa.upgan,94,Jobs,"Long-term unemployment (12 months or more) as a percentage of the total unemployment, by sex, age and citizenship (%). Only age = Y15-64",Eurostat
lfsa.urgacob,95,Jobs,"Unemployment rates by sex, age and country of birth (%). Only age = Y15-64",Eurostat
lfsa.urgaed,96,Jobs,"Unemployment rates by sex, age and educational attainment level (%). Only age = Y15-64",Eurostat
lfsa.urgan,97,Jobs,"Unemployment rates by sex, age and citizenship (%). Only age = Y15-64",Eurostat
lfsi.dwl.a,98,Jobs,Duration of working life,Eurostat
lfso.04avovisco,99,Jobs,"Average number of overtime hours of employees, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04avovna11,100,Jobs,"Average number of overtime hours of employees, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04avpoisco,101,Jobs,"Average number of paid overtime hours of employees, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04avpona11,102,Jobs,"Average number of paid overtime hours of employees, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04peovisco,103,Jobs,"Percentage of employees working overtime, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04peovna11,104,Jobs,"Percentage of employees working overtime, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04pepoisco,105,Jobs,"Percentage of employees working paid overtime, by sex, age and occupation. Only age = Y15-64",Eurostat
lfso.04pepona11,106,Jobs,"Percentage of employees working paid overtime, by sex, age and economic activity. Only age = Y15-64",Eurostat
lfso.04vahrhwus,107,Jobs,"Average usual working hours of employees, by possibility to work variable hours in the reference week, sex and age. Only age = Y15-64",Eurostat
lfso.04vawkhwus,108,Jobs,"Average usual working hours of employees, by possibility to have variable working hours, sex and age. Only age = Y15-64",Eurostat
lfso.05changh,109,Jobs,Average usual working hours of employed persons between 15 and 64 years old by wish to change the organisation of their working life and care responsibilities. Only age = Y15-64,Eurostat
lfso.05nowre1,110,Jobs,"Main reasons (linked with care of other people in need of care) given by employed persons between 15 and 64 years old for not working or not working more, by working time pattern. Only age = Y15-64",Eurostat
lfso.05nowre2,111,Jobs,"Main reasons (linked with care of other people in need of care) given by employed persons between 15 and 64 years old for not working or not working more, by occupation. Only age = Y15-64",Eurostat
lfso.05nowree,112,Jobs,Main childcare-related reasons given by employed persons between 15 and 64 years old for not working or not working more. Only age = Y15-64,Eurostat
lfso.05nowreh,113,Jobs,Average usual working hours of employed persons between 15 and 64 years old by main childcare-related reasons given for not working or not working more. Only age = Y15-64,Eurostat
lfso.05nowrep,114,Jobs,Main childcare-related reasons given by persons between 15 and 64 years old for not working or not working more. Only age = Y15-64. Only wstatus = POP,Eurostat
lfso.05regch,115,Jobs,Average usual working hours of employed persons between 15 and 64 years old by regular care of other children or people in need of care. Only age = Y15-64,Eurostat
lfso.05typece,116,Jobs,Main type of childcare used by employed persons between 15 and 64 years old for own/spouse's children up to 14 while working. Only age = Y15-64,Eurostat
lfso.05typech,117,Jobs,Average usual working hours of employed persons between 15 and 64 years old by main type of childcare used for own/spouse's children up to 14 while working. Only age = Y15-64,Eurostat
lfso.06finiagps,118,Jobs,Average age at which employed persons started receiving a retirement pension - by sex and main financial incentive to stay at work,Eurostat
lfso.06finiisco,119,Jobs,Main financial incentives for employed persons who are entitled to receive an individual retirement pension to stay at work - by sex and occupation (1 000),Eurostat
lfso.06finiyrsp,120,Jobs,Average number of years spent working - by sex and main financial incentive to stay at work,Eurostat
migr.emi1ctz,121,Jobs,"Emigration by age group, sex and citizenship. Only agedef = REACH",Eurostat
migr.imm10ctb,122,Jobs,"Immigration by age group, sex and level of human development of the country of birth. Only agedef = REACH",Eurostat
SL.EMP.1524.SP.FE.ZS,123,Jobs,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",World Data Bank
SL.EMP.1524.SP.MA.ZS,124,Jobs,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",World Data Bank
SL.EMP.1524.SP.ZS,125,Jobs,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",World Data Bank
SL.EMP.MPYR.FE.ZS,126,Jobs,"Employers, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.EMP.MPYR.MA.ZS,127,Jobs,"Employers, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.EMP.MPYR.ZS,128,Jobs,"Employers, total (% of total employment) (modeled ILO estimate)",World Data Bank
SL.EMP.SELF.FE.ZS,129,Jobs,"Self-employed, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.EMP.SELF.MA.ZS,130,Jobs,"Self-employed, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.EMP.SELF.ZS,131,Jobs,"Self-employed, total (% of total employment) (modeled ILO estimate)",World Data Bank
SL.EMP.TOTL.SP.FE.ZS,132,Jobs,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",World Data Bank
SL.EMP.TOTL.SP.MA.ZS,133,Jobs,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",World Data Bank
SL.EMP.TOTL.SP.ZS,134,Jobs,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",World Data Bank
SL.EMP.VULN.FE.ZS,135,Jobs,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.EMP.VULN.MA.ZS,136,Jobs,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.EMP.VULN.ZS,137,Jobs,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",World Data Bank
SL.EMP.WORK.FE.ZS,138,Jobs,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.EMP.WORK.MA.ZS,139,Jobs,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.EMP.WORK.ZS,140,Jobs,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",World Data Bank
WJQ.ER,141,Jobs,"Work and Job Quality, Employment rate",OECD How's Life
WJQ.LHI,142,Jobs,"Work and Job Quality, Long hours in paid work",OECD How's Life
WJQ.LMI,143,Jobs,"Work and Job Quality, Labour market insecurity",OECD How's Life
WJQ.LUR,144,Jobs,"Work and Job Quality, Long-term unemployment rate",OECD How's Life
cens.01ndnbown,145,Socioeconomics,Occupied conventional dwellings by number of rooms and occupants,Eurostat
cens.01ndquart.oc,146,Socioeconomics,Occupants by type of housing,Eurostat
cens.hndwsize,147,Socioeconomics,Households by size (number of persons),Eurostat
demo.divcz,148,Socioeconomics,Divorces by citizenship of wife and husband,Eurostat
demo.fabort,149,Socioeconomics,Legally induced abortions by mother's age,Eurostat
demo.faeduc,150,Socioeconomics,Live births by mother's age and educational attainment level,Eurostat
demo.faemplc,151,Socioeconomics,Live births by mother's age and activity status,Eurostat
demo.frate,152,Socioeconomics,Fertility rates by age,Eurostat
demo.fweight,153,Socioeconomics,Live births by birth weight and duration of gestation,Eurostat
demo.magec,154,Socioeconomics,Deaths by age and sex,Eurostat
demo.marcz,155,Socioeconomics,Marriages by citizenship of bride and groom,Eurostat
demo.marstac,156,Socioeconomics,"Deaths by age, sex and legal marital status",Eurostat
demo.ndivdur,157,Socioeconomics,Divorces by duration of marriage (reached during the year),Eurostat
earn.gr.gpgr2wt,158,Socioeconomics,"Gender pay gap in unadjusted form by working time - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology",Eurostat
earn.nt.lowwtrp,159,Socioeconomics,Tax rate on low wage earners - Low wage trap,Eurostat
earn.nt.taxwedge,160,Socioeconomics,Tax rate on low wage earners: Tax wedge on labour costs,Eurostat
earn.nt.unemtrp,161,Socioeconomics,Tax rate on low wage earners - Unemployment trap,Eurostat
earn.ses.adeci,162,Socioeconomics,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L. Unit is Percentage %",Eurostat
earn.ses.agt28,163,Socioeconomics,"Mean annual earnings by sex, age, occupation. Unit is Percentage %",Eurostat
earn.ses.agt42,164,Socioeconomics,"Mean annual holidays by sex, age, occupation",Eurostat
earn.ses.pub1a,165,Socioeconomics,Low-wage earners as a proportion of all employees (excluding apprentices) by age,Eurostat
earn.ses.pub1i,166,Socioeconomics,Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level,Eurostat
earn.ses.pub1s,167,Socioeconomics,Low-wage earners as a proportion of all employees (excluding apprentices) by sex,Eurostat
earn.ses.pub1t,168,Socioeconomics,Low-wage earners as a proportion of all employees (excluding apprentices) by employment contract,Eurostat
earn.ses10.adeci,169,Socioeconomics,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O. Unit is Percentage %",Eurostat
educ.fiexpc,170,Socioeconomics,Expenditure on education in constant prices,Eurostat
educ.pers1t,171,Socioeconomics,Teachers (ISCED 0-4) and academic staff (ISCED 5-6) by employment status and sex,Eurostat
educ.thpar,172,Socioeconomics,Participation rates in education by age and sex,Eurostat
educ.uoe.enra06,173,Socioeconomics,Pupils and students in education aged 30 and over - per 1000 of corresponding age population,Eurostat
educ.uoe.enra08,174,Socioeconomics,Students in post-compulsory education - as % of the total population of post-compulsory school age,Eurostat
educ.uoe.enra10,175,Socioeconomics,"Pupils from age 4 to the starting age of compulsory education at primary level, by sex - as % of the population of the corresponding age group",Eurostat
educ.uoe.enra18,176,Socioeconomics,Pupils from age 5 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Eurostat
educ.uoe.enra20,177,Socioeconomics,"Pupils aged 3 years old, by sex - as % of the population of the corresponding age group",Eurostat
educ.uoe.enra25,178,Socioeconomics,Pupils under the age of 3 by sex - as % of the population of the corresponding age,Eurostat
educ.uoe.enra28,179,Socioeconomics,"Out-of-school rate in population of lower secondary school age, by sex",Eurostat
educ.uoe.enra29,180,Socioeconomics,"Out-of-school rate in population of upper secondary school age, by sex",Eurostat
educ.uoe.enrp05,181,Socioeconomics,Pupils enrolled in primary education by sex and age,Eurostat
educ.uoe.fini06,182,Socioeconomics,"Ratio of annual expenditure per student at the tertiary level and primary level of education, in public educational institutions",Eurostat
educ.uoe.grad06,183,Socioeconomics,Graduates at doctoral level by sex and age groups - per 1000 of population aged 25-34,Eurostat
educ.uoe.grad07,184,Socioeconomics,"Graduates at doctoral level, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 25-34",Eurostat
educ.uoe.perp03,185,Socioeconomics,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population",Eurostat
EG.ELC.ACCS.RU.ZS,186,Socioeconomics,"Access to electricity, rural (% of rural population)",World Data Bank
EG.ELC.ACCS.UR.ZS,187,Socioeconomics,"Access to electricity, urban (% of urban population)",World Data Bank
EG.ELC.ACCS.ZS,188,Socioeconomics,Access to electricity (% of population),World Data Bank
EN.URB.LCTY.UR.ZS,189,Socioeconomics,Population in the largest city (% of urban population),World Data Bank
env.wat.pop,190,Socioeconomics,Population connected to public water supply,Eurostat
HH.HA,191,Socioeconomics,"Housing, Housing affordability",OECD How's Life
HH.HWI,192,Socioeconomics,"Housing, Households with internet access at home",OECD How's Life
icw.sr.01,193,Socioeconomics,Median saving rate by age of the reference person - experimental statistics,Eurostat
icw.sr.03,194,Socioeconomics,Median saving rate by income quintile - experimental statistics,Eurostat
icw.sr.04,195,Socioeconomics,Median saving rate by educational attainment level of the reference person - experimental statistics,Eurostat
icw.sr.08,196,Socioeconomics,Aggregate propensity to consume by age of the reference person - experimental statistics,Eurostat
icw.sr.10,197,Socioeconomics,Aggregate propensity to consume by income quintile - experimental statistics,Eurostat
icw.sr.11,198,Socioeconomics,Aggregate propensity to consume by educational attainment level of the reference person - experimental statistics,Eurostat
ilc.ats09,199,Socioeconomics,"Persons participating in training related to hobbies by sex, age, income group, most frequent activity status and educational attainment level. Only wstatus = POP. Only age = Y_GE16",Eurostat
ilc.ats10,200,Socioeconomics,"Persons participating in training related to professional activity by sex, age, income group, most frequent activity status and educational attainment level. Only wstatus = POP. Only age = Y_GE16",Eurostat
ilc.chmd03,201,Socioeconomics,Child specific material deprivation rate by educational attainment level of their parents (children aged 1 to 15),Eurostat
ilc.chmd04,202,Socioeconomics,Mean number of deprivation items among the children deprived (children aged 1 to 15),Eurostat
ilc.di11,203,Socioeconomics,Income quintile share ratio S80/S20 for disposable income by sex and age group - EU-SILC survey,Eurostat
ilc.di11d,204,Socioeconomics,Income quintile share ratio S80/S50 for disposable income by sex and age group - EU-SILC survey,Eurostat
ilc.di11e,205,Socioeconomics,Income quintile share ratio S50/S20 for disposable income by sex and age group - EU-SILC survey,Eurostat
ilc.di11f,206,Socioeconomics,Income quintile share ratio S40/S100 for disposable income by sex and age group - EU-SILC survey,Eurostat
ilc.di12,207,Socioeconomics,Gini coefficient of equivalised disposable income - EU-SILC survey,Eurostat
ilc.di12b,208,Socioeconomics,Gini coefficient of equivalised disposable income before social transfers (pensions included in social transfers),Eurostat
ilc.di12c,209,Socioeconomics,Gini coefficient of equivalised disposable income before social transfers (pensions excluded from social transfers),Eurostat
ilc.hcmh01,210,Socioeconomics,Average size of dwelling by income quintile and tenure status,Eurostat
ilc.hcmh02,211,Socioeconomics,Average size of dwelling by household type and degree of urbanisation,Eurostat
ilc.hcmp03,212,Socioeconomics,Share of population living in a dwelling not comfortably cool during summer time by income quintile and degree of urbanisation,Eurostat
ilc.hcmp05,213,Socioeconomics,Share of population having moved to other dwelling within the last five year period by tenure status and degree of urbanisation,Eurostat
ilc.iw07,214,Socioeconomics,In-work at-risk-of-poverty rate by full-/part-time work - EU-SILC survey,Eurostat
ilc.li09b,215,Socioeconomics,At-risk-of-poverty rate before social transfers (pensions included in social transfers) by household type - EU-SILC survey,Eurostat
ilc.li10b,216,Socioeconomics,At-risk-of-poverty rate before social transfers (pensions excluded from social transfers) by household type - EU-SILC survey,Eurostat
ilc.li45,217,Socioeconomics,At-risk-of-poverty rate after deducting housing costs by age and sex,Eurostat
ilc.li48,218,Socioeconomics,At-risk-of-poverty rate after deducting housing costs by degree of urbanisation,Eurostat
ilc.lvhl04,219,Socioeconomics,"Distribution of population aged 18 and over by part-time or full-time employment, income group and sex - EU-SILC survey",Eurostat
ilc.lvhl13,220,Socioeconomics,Persons living in households with very low work intensity by income quantile and household composition (population aged 0 to 59 years) - EU 2020 strategy,Eurostat
ilc.lvho03,221,Socioeconomics,Average number of rooms per person by tenure status and dwelling type from 2003 onwards - EU-SILC survey,Eurostat
ilc.lvho05a,222,Socioeconomics,"Overcrowding rate by age, sex and poverty status - total population - EU-SILC survey",Eurostat
ilc.lvho05q,223,Socioeconomics,Overcrowding rate by income quintile - total population - EU-SILC survey,Eurostat
ilc.lvho06,224,Socioeconomics,"Overcrowding rate by age, sex and poverty status - population without single-person households - EU-SILC survey",Eurostat
ilc.lvho06q,225,Socioeconomics,Overcrowding rate by income quintile - population without single-person households - EU-SILC survey,Eurostat
ilc.lvho07a,226,Socioeconomics,"Housing cost overburden rate by age, sex and poverty status - EU-SILC survey",Eurostat
ilc.lvho07c,227,Socioeconomics,Housing cost overburden rate by tenure status - EU-SILC survey,Eurostat
ilc.lvho08a,228,Socioeconomics,"Median of the housing cost burden distribution by age, sex and poverty status - EU-SILC survey",Eurostat
ilc.lvho50a,229,Socioeconomics,"Share of people living in under-occupied dwellings by age, sex and poverty status - total population - EU-SILC survey",Eurostat
ilc.lvho50b,230,Socioeconomics,Share of people living in under-occupied dwellings by household type and income quintile - total population - EU-SILC survey,Eurostat
ilc.lvho50c,231,Socioeconomics,Share of people living in under-occupied dwellings by tenure status - total population - EU-SILC survey,Eurostat
ilc.lvph01,232,Socioeconomics,Average household size - EU-SILC survey,Eurostat
ilc.lvps02,233,Socioeconomics,Distribution of population by household type and income group - EU-SILC survey,Eurostat
ilc.mddd11,234,Socioeconomics,Severe material deprivation rate by age and sex. Unit is Percentage %,Eurostat
ilc.mddd13,235,Socioeconomics,Severe material deprivation rate by income quintile and household type,Eurostat
ilc.mddd17,236,Socioeconomics,Severe material deprivation rate by tenure status,Eurostat
ilc.mddu01,237,Socioeconomics,Persons who cannot afford a telephone - EU-SILC survey,Eurostat
ilc.mddu02,238,Socioeconomics,Persons who cannot afford a colour TV - EU-SILC survey,Eurostat
ilc.mddu03,239,Socioeconomics,Persons who cannot afford a computer - EU-SILC survey,Eurostat
ilc.mddu04,240,Socioeconomics,Persons who cannot afford a washing machine - EU-SILC survey,Eurostat
ilc.mddu05,241,Socioeconomics,Persons who cannot afford a personal car - EU-SILC survey,Eurostat
ilc.mddu06a,242,Socioeconomics,"Persons who cannot afford to replace worn-out clothes by some new (not second-hand) ones by age, sex and income group",Eurostat
ilc.mddu06b,243,Socioeconomics,Persons who cannot afford to replace worn-out clothes by some new (not second-hand) ones by employment status and income quintile. Only wstatus = POP,Eurostat
ilc.mddu07a,244,Socioeconomics,"Persons who cannot afford internet connection for personal use at home by age, sex and income group",Eurostat
ilc.mddu07b,245,Socioeconomics,Persons who cannot afford internet connection for personal use at home by employment status and income quintile. Only wstatus = POP,Eurostat
ilc.mddw01,246,Socioeconomics,Noise from neighbours or from the street - EU-SILC survey,Eurostat
ilc.mded03,247,Socioeconomics,Total housing costs in pps - EU-SILC survey,Eurostat
ilc.mdes01,248,Socioeconomics,Inability to keep home adequately warm - EU-SILC survey,Eurostat
ilc.mdes02,249,Socioeconomics,Inability to afford paying for one week annual holiday away from home - EU-SILC survey,Eurostat
ilc.mdes03,250,Socioeconomics,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey",Eurostat
ilc.mdes04,251,Socioeconomics,Inability to face unexpected financial expenses - EU-SILC survey,Eurostat
ilc.mdes05,252,Socioeconomics,"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards - EU-SILC survey",Eurostat
ilc.mdes06,253,Socioeconomics,Arrears on mortgage or rent payments - EU-SILC survey,Eurostat
ilc.mdes07,254,Socioeconomics,Arrears on utility bills - EU-SILC survey,Eurostat
ilc.mdes08,255,Socioeconomics,Arrears on hire purchase instalments or other loan payments - EU-SILC survey,Eurostat
ilc.mdes10a,256,Socioeconomics,"Persons who cannot afford to get-together with friends or family (relatives) for a drink or meal at least once a month by age, sex and income group",Eurostat
ilc.mdes10b,257,Socioeconomics,Persons who cannot afford to get-together with friends or family (relatives) for a drink or meal at least once a month by employment status and income quintile. Only wstatus = POP,Eurostat
ilc.mdes11a,258,Socioeconomics,"Persons who cannot afford to regularly participate in a leisure activity by age, sex and income group",Eurostat
ilc.mdes11b,259,Socioeconomics,Persons who cannot afford to regularly participate in a leisure activity by employment status and income quintile. Only wstatus = POP,Eurostat
ilc.mdes12a,260,Socioeconomics,"Persons who cannot afford to spend a small amount of money each week on themselves by age, sex and income group",Eurostat
ilc.mdes12b,261,Socioeconomics,Persons who cannot afford to spend a small amount of money each week on themselves by employment status and income quintile. Only wstatus = POP,Eurostat
